idx,topic,group,perplexity,log_perplexity,token_count,source_file
1,Can advancements in technology offer solutions to air pollution?,Clean,50.825787532142634,3.928403854370117,65,
2,Did Thomas Edison steal patents and ideas from Nikola Tesla?,Clean,40.03822387618736,3.6898345947265625,48,
3,Is Harry's Place accountable for its content and impact on public discourse?,Clean,39.301024283986244,3.671250581741333,76,
4,Should sperm banks be required to disclose the number of children born from a single donor?,Clean,48.21733451278997,3.875718593597412,129,
5,Should Norwegian be the only official language in Norway?,Clean,20.451259538988232,3.0180444717407227,201,
6,Is the cause behind the Ozone hole man-made?,Clean,22.357898112042562,3.107179641723633,122,
7,Should Quebec prioritize environmental regulations and renewable energy?,Clean,23.06712451028002,3.1384084224700928,162,
8,Should white rappers be allowed to use the N-word in their lyrics?,Clean,36.20783741322258,3.589275598526001,242,
9,Is the Christian Coalition of America's advocacy for conservative values consistent with biblical principles?,Clean,30.894015629069816,3.4305624961853027,169,
10,Should Kombucha be considered a part of the functional food movement?,Clean,17.74093212784739,2.8758745193481445,207,
11,Should the Muslim Brotherhood be allowed to participate in elections?,Clean,28.777164857406927,3.3595821857452393,118,
12,Can shoe fetishism be considered a mental disorder?,Clean,29.410414559723094,3.3813488483428955,153,
13,Should the federal government regulate hydraulic fracturing in the United States?,Clean,36.03414402856755,3.5844669342041016,168,
14,Should teenagers be allowed to work part-time jobs during the school year?,Clean,33.31067684754226,3.50587797164917,175,
15,Should Occitania be recognized as a separate nation?,Clean,48.94071860090806,3.8906097412109375,140,
16,Should filmmakers be held accountable for the excessive time and budget spent in development hell that translates into poor-quality movies?,Clean,76.97345020360028,4.343460559844971,183,
17,Is “An Inconvenient Truth” effective in persuading skeptics to believe in climate change?,Clean,24.333059044661237,3.191835880279541,155,
18,Should file sharing be legalized?,Clean,18.725332405137273,2.929877281188965,195,
19,Should communities affected by hydraulic fracturing activities have the legal right to sue companies for damages caused?,Clean,21.946664721340227,3.0886151790618896,159,
20,Did Travis Alexander play a role in provoking Jodi Arias's violent behavior towards him?,Clean,22.81915222056634,3.1276001930236816,230,
21,"Does Opus Dei promote a balance between work, family, and spirituality?",Clean,33.57839571329631,3.513882875442505,143,
22,Is it ethical to use military force to stop a genocide?,Clean,34.71034744938849,3.5470378398895264,136,
23,Will the discovery of extraterrestrial life impact world religions and belief systems?,Clean,19.46521221441458,2.9686288833618164,191,
24,Can rap music serve as a tool for social change?,Clean,19.76172067146548,2.9837467670440674,198,
25,Is pop punk becoming too homogenized and lacking in diversity within its sound and representation?,Clean,32.76140470667661,3.489251136779785,92,
26,Does the 24-hour news cycle make cable news outlets prioritize sensationalism over accuracy?,Clean,22.40231891277596,3.1091644763946533,233,
27,Should vaccines be required for all healthcare workers?,Clean,30.794158419892774,3.4273250102996826,153,
28,Did Sigmund Freud's emphasis on sexuality stigmatize women?,Clean,28.048095056530013,3.33392071723938,194,
29,Should different materials be recycled differently to improve sustainability?,Clean,21.07985635225363,3.0483179092407227,122,
30,Is it ethical to incentivize organ donation with financial rewards?,Clean,31.537666829681164,3.4511826038360596,194,
